station_name,daily_volume_kwh,weekday_share,peak_hour,load_factor,cluster_id,cluster_name
BOULDER / AIRPORT ST1,21.94,0.709,8,0.204,2,Neighborhood / Community Port
BOULDER / ALPINE ST1,11.86,0.753,17,0.255,0,Afternoon / Evening Hub
BOULDER / ANNEX ST1,6.19,0.998,6,0.164,2,Neighborhood / Community Port
BOULDER / ATRIUM ST1,25.26,0.693,9,0.303,2,Neighborhood / Community Port
BOULDER / BASELINE ST1,71.52,0.64,9,0.483,1,High-Traffic Commuter Hub
BOULDER / BOULDER PARK S1,3.77,0.891,15,0.303,0,Afternoon / Evening Hub
BOULDER / BOULDER PARK S2,4.68,0.765,8,0.373,2,Neighborhood / Community Port
BOULDER / CARPENTER PARK1,74.99,0.757,8,0.337,1,High-Traffic Commuter Hub
BOULDER / CARPENTER PARK2,53.8,0.742,8,0.343,1,High-Traffic Commuter Hub
BOULDER / EAST REC,44.44,0.71,8,0.378,1,High-Traffic Commuter Hub
BOULDER / FACILITIES ST1,8.94,0.807,11,0.354,0,Afternoon / Evening Hub
BOULDER / N BOULDER REC 1,80.85,0.729,8,0.356,1,High-Traffic Commuter Hub
BOULDER / OSMP FLEET 1,1.13,1.0,14,0.214,0,Afternoon / Evening Hub
BOULDER / REC CENTER ST1,14.85,0.746,8,0.259,2,Neighborhood / Community Port
BOULDER / REC CENTER ST2,53.48,0.726,8,0.351,1,High-Traffic Commuter Hub
BOULDER / RESERVOIR ST1,7.77,0.691,9,0.306,2,Neighborhood / Community Port
BOULDER / RESERVOIR ST2,3.94,0.654,10,0.342,2,Neighborhood / Community Port
BOULDER / VALMONT ST1,25.77,0.769,8,0.264,2,Neighborhood / Community Port
BOULDER / VALMONT ST2,34.48,0.78,8,0.32,1,High-Traffic Commuter Hub
COMM VITALITY / 1000WALNUT1,30.09,0.658,18,0.309,0,Afternoon / Evening Hub
COMM VITALITY / 1000WALNUT2,13.0,0.65,8,0.342,2,Neighborhood / Community Port
COMM VITALITY / 1100WALNUT1,37.33,0.689,17,0.333,0,Afternoon / Evening Hub
COMM VITALITY / 1104 SPRUCE1,24.52,0.694,18,0.351,0,Afternoon / Evening Hub
COMM VITALITY / 1400 WALNUT1,21.37,0.834,8,0.093,2,Neighborhood / Community Port
COMM VITALITY / 1500PEARL1,12.59,0.619,11,0.345,2,Neighborhood / Community Port
COMM VITALITY / 1500PEARL2,20.94,0.663,11,0.33,2,Neighborhood / Community Port
COMM VITALITY / 2200 BROADWAY1,1.4,0.405,9,0.099,2,Neighborhood / Community Port
COMM VITALITY / BOULDER JCTN,11.37,0.753,20,0.364,0,Afternoon / Evening Hub
MUNICIPAL SC / 1000WALNUT1,4.13,0.643,10,0.237,2,Neighborhood / Community Port
MUNICIPAL SC / 1000WALNUT2,2.24,0.674,10,0.23,2,Neighborhood / Community Port
MUNICIPAL SC / 1100WALNUT1,6.67,0.714,17,0.362,0,Afternoon / Evening Hub
MUNICIPAL SC / 1104 SPRUCE1,7.73,0.685,9,0.268,2,Neighborhood / Community Port
MUNICIPAL SC / 1400 WALNUT1,2.57,0.695,8,0.172,2,Neighborhood / Community Port
MUNICIPAL SC / 1500PEARL1,2.57,0.682,9,0.259,2,Neighborhood / Community Port
MUNICIPAL SC / 1500PEARL2,7.64,0.779,9,0.189,2,Neighborhood / Community Port
