station_name,cluster_name,wape_pct,mae_kwh,rmse_kwh,total_kwh_2023
COMM VITALITY / BOULDER JCTN,Afternoon / Evening Hub,0.0,0.09,1.927,0.0
BOULDER / EAST REC,High-Traffic Commuter Hub,128.37,3.63,7.225,24770.2
BOULDER / BASELINE ST1,High-Traffic Commuter Hub,135.56,4.676,9.596,30215.8
BOULDER / N BOULDER REC 1,High-Traffic Commuter Hub,140.56,4.777,11.631,29770.6
BOULDER / REC CENTER ST1,Neighborhood / Community Port,143.17,1.908,5.982,11671.6
BOULDER / REC CENTER ST2,High-Traffic Commuter Hub,144.8,3.981,9.596,24084.7
BOULDER / VALMONT ST2,High-Traffic Commuter Hub,145.11,3.383,7.412,20424.5
MUNICIPAL SC / 1104 SPRUCE1,Neighborhood / Community Port,145.38,1.406,3.847,8469.5
COMM VITALITY / 1400 WALNUT1,Neighborhood / Community Port,146.47,1.128,6.827,6748.6
BOULDER / VALMONT ST1,Neighborhood / Community Port,150.02,2.479,6.964,14474.0
COMM VITALITY / 1100WALNUT1,Afternoon / Evening Hub,152.97,1.398,4.667,8007.8
MUNICIPAL SC / 1500PEARL2,Neighborhood / Community Port,153.79,1.469,5.348,8368.3
BOULDER / ATRIUM ST1,Neighborhood / Community Port,153.96,2.257,6.15,12841.1
BOULDER / CARPENTER PARK1,High-Traffic Commuter Hub,153.97,3.759,8.897,21385.8
COMM VITALITY / 1500PEARL2,Neighborhood / Community Port,161.22,0.718,4.882,3903.1
BOULDER / CARPENTER PARK2,High-Traffic Commuter Hub,161.73,3.165,7.533,17142.5
MUNICIPAL SC / 1100WALNUT1,Afternoon / Evening Hub,163.57,1.365,4.453,7308.0
MUNICIPAL SC / 1000WALNUT1,Neighborhood / Community Port,166.84,0.861,3.208,4523.1
COMM VITALITY / 1104 SPRUCE1,Afternoon / Evening Hub,170.53,0.635,3.57,3264.4
COMM VITALITY / 1000WALNUT2,Neighborhood / Community Port,175.7,0.692,3.705,3449.7
COMM VITALITY / 1000WALNUT1,Afternoon / Evening Hub,175.72,0.998,4.32,4974.7
BOULDER / AIRPORT ST1,Neighborhood / Community Port,179.14,1.607,5.221,7859.1
BOULDER / ALPINE ST1,Afternoon / Evening Hub,185.99,1.752,5.75,8253.2
MUNICIPAL SC / 1500PEARL1,Neighborhood / Community Port,189.34,0.608,1.898,2813.2
MUNICIPAL SC / 1400 WALNUT1,Neighborhood / Community Port,195.56,0.628,3.087,2814.9
MUNICIPAL SC / 1000WALNUT2,Neighborhood / Community Port,199.15,0.558,2.591,2452.5
BOULDER / ANNEX ST1,Neighborhood / Community Port,199.97,1.068,6.105,4679.3
BOULDER / FACILITIES ST1,Afternoon / Evening Hub,213.39,0.855,4.156,3510.6
BOULDER / BOULDER PARK S2,Neighborhood / Community Port,222.94,0.702,3.344,2757.5
COMM VITALITY / 1500PEARL1,Neighborhood / Community Port,225.32,0.231,1.952,896.7
BOULDER / BOULDER PARK S1,Afternoon / Evening Hub,227.84,0.532,3.319,2046.7
BOULDER / RESERVOIR ST1,Neighborhood / Community Port,235.96,0.535,2.223,1984.6
BOULDER / RESERVOIR ST2,Neighborhood / Community Port,250.04,0.361,2.101,1266.4
COMM VITALITY / 2200 BROADWAY1,Neighborhood / Community Port,279.44,0.177,1.464,553.9
BOULDER / OSMP FLEET 1,Afternoon / Evening Hub,280.73,0.389,1.849,1214.9
